slot_id,week,section_id,course_id,faculty,day,start,end,room_number
W5_Sat_S5,5,DRV_B,DRV,Prof. Kamran Kuddus,Sat,16:30,18:00,Room_1
W5_Sat_S5,5,PM_A,PM,Prof. Vijaya Dixit,Sat,16:30,18:00,Room_2
W5_Sat_S6,5,BMS_A,BMS,Prof. Santosh Kumar Prusty,Sat,18:15,19:45,Room_1
W5_Sun_S1,5,CS_B,CS,Prof. Swarup Kumar Dutta,Sun,09:00,10:30,Room_1
W5_Sun_S1,5,IM_A,IM,Prof. Anand,Sun,09:00,10:30,Room_2
W5_Sun_S2,5,CRM_B,CRM,Prof. Ankur Jha,Sun,10:45,12:15,Room_1
W5_Sun_S2,5,IMC_A,IMC,Prof. T. Sai Vijay,Sun,10:45,12:15,Room_2
W5_Sun_S3,5,CCS_B,CCS,Prof. Rohit Kumar,Sun,12:30,14:00,Room_1
W5_Sun_S3,5,PBM_A,PBM,Prof. Aditya Shankar Mishra,Sun,12:30,14:00,Room_2
W5_Sun_S4,5,BV_A,BV,Prof. Anand,Sun,15:30,17:00,Room_1
W5_Sun_S4,5,IMC_B,IMC,Prof. T. Sai Vijay,Sun,15:30,17:00,Room_2
W5_Thu_S1,5,EMPP_A,EMPP,Prof. Rajasekhar David,Thu,09:00,10:30,Room_1
W5_Thu_S1,5,PBM_B,PBM,Prof. Aditya Shankar Mishra,Thu,09:00,10:30,Room_2
W5_Thu_S1,5,SCM_A,SCM,Prof. Pritee Ray,Thu,09:00,10:30,Room_3
W5_Thu_S2,5,CS_A,CS,Prof. Swarup Kumar Dutta,Thu,10:45,12:15,Room_1
W5_Thu_S2,5,DT_B,DT,Prof. Arindam Mukherjee,Thu,10:45,12:15,Room_2
W5_Thu_S3,5,IMKT_B,IMKT,Prof. Dipanjan Kumar Dey,Thu,12:30,14:00,Room_1
W5_Thu_S3,5,PM_A,PM,Prof. Vijaya Dixit,Thu,12:30,14:00,Room_2
W5_Thu_S4,5,DWDV_A,DWDV,Prof. Anupriya Khan,Thu,14:45,16:15,Room_1
W5_Thu_S5,5,CRM_A,CRM,Prof. Ankur Jha,Thu,16:30,18:00,Room_1
W5_Thu_S5,5,IMKT_B,IMKT,Prof. Dipanjan Kumar Dey,Thu,16:30,18:00,Room_2
W5_Thu_S6,5,ODC_A,ODC,Prof. Viraj Varma,Thu,18:15,19:45,Room_1
W5_Thu_S6,5,PBM_B,PBM,Prof. Aditya Shankar Mishra,Thu,18:15,19:45,Room_2
W5_Thu_S6,5,SDM_A,SDM,Prof. Shibashish Chakraborty,Thu,18:15,19:45,Room_3
W5_Tue_S1,5,DWDV_A,DWDV,Prof. Anupriya Khan,Tue,09:00,10:30,Room_1
W5_Tue_S1,5,ODC_A,ODC,Prof. Viraj Varma,Tue,09:00,10:30,Room_2
W5_Tue_S2,5,CB_B,CB,Prof. M. Jyotsna Soni,Tue,10:45,12:15,Room_1
W5_Tue_S2,5,IMC_A,IMC,Prof. T. Sai Vijay,Tue,10:45,12:15,Room_2
